Name,Year,Mileage,Engine_capacity,Engine_type,Power,Transmission,Drive,Fuel_consumption_mixed,Acceleration_to_100,Cost
BMW X5 4.4 AT,2004,190000,4.4,Бензин,320,Автомат,Полный,13.1,7,900000
BMW 3 серия 2.0 AT,2006,199000,2,Бензин,143,Автомат,Задний,6.4,9.9,900000
BMW X3 2.5 AT,2005,233000,2.5,Бензин,192,Автомат,Полный,11.9,9.8,900000
BMW 3 серия 2.0 MT,2002,400000,2,Бензин,143,Механика,Задний,7.4,9.6,900000
BMW 3 серия 2.0 AT,2008,301505,2,Бензин,156,Автомат,Задний,7.9,9.7,910000
BMW 7 серия 4.4 AT,1999,240000,4.4,Бензин,286,Автомат,Задний,12.5,7.5,920000
BMW X3 2.5 AT,2008,336000,2.5,Бензин,218,Автомат,Полный,10.1,8.9,920000
BMW 1 серия 1.6 AT,2010,132000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,930000
BMW X3 2.5 AT,2007,249000,2.5,Бензин,218,Автомат,Полный,10.1,8.9,939000
BMW 7 серия 4.0 AT,2007,214350,4,Бензин,306,Автомат,Задний,11.2,6.9,940000
BMW X3 3.0 AT,2008,269100,3,Бензин,272,Автомат,Полный,10.3,7.5,940000
BMW 3 серия 2.0 AT,2005,120000,2,Бензин,150,Автомат,Задний,7.9,9.7,950000
BMW 3 серия 2.0 MT,1997,270000,2,Бензин,150,Механика,Задний,9,10,950000
BMW 3 серия 2.0 MT,2008,345000,2,Бензин,156,Механика,Задний,7.9,8.9,950000
BMW X5 3.0 AT,2005,355000,3,Бензин,231,Автомат,Полный,12.9,8.8,950000
BMW X5 3.0 AT,2003,307450,3,Бензин,231,Автомат,Полный,12.9,8.8,950000
BMW 5 серия 2.5 AT,2004,200000,2.5,Дизель,177,Автомат,Задний,7.8,8.1,950000
BMW X5 2.9 AT,2003,623755,2.9,Дизель,184,Автомат,Полный,9.7,10.5,950000
BMW X3 2.5 AT,2009,242000,2.5,Бензин,218,Автомат,Полный,10.1,8.9,950000
BMW 1 серия 2.0 AT,2007,163000,2,Бензин,136,Автомат,Задний,7.6,10.1,950000
BMW X3 3.0 AT,2004,400000,3,Бензин,231,Автомат,Полный,12.1,8.1,950000
BMW 1 серия 2.0 AT,2008,199000,2,Дизель,177,Автомат,Задний,6.1,7.8,950000
BMW 5 серия 2.5 AT,2005,182000,2.5,Бензин,192,Автомат,Задний,9.9,8.7,950000
BMW 1 серия 1.6 AT,2010,68678,1.6,Бензин,115,Автомат,Задний,7.7,12.3,950000
BMW X3 2.5 AT,2009,297500,2.5,Бензин,218,Автомат,Полный,10.1,8.9,955000
BMW X5 3.0 AT,2007,253000,3,Дизель,235,Автомат,Полный,8.2,8.1,960000
BMW 5 серия 3.0 AT,2005,382000,3,Бензин,231,Автомат,Задний,9.9,7.1,960000
BMW 1 серия 2.0 AT,2006,327900,2,Бензин,129,Автомат,Задний,7.3,9.4,960000
BMW 5 серия 2.0 AT,2008,220000,2,Бензин,156,Автомат,Задний,8.2,10.6,970000
BMW 3 серия 2.0 AT,2011,212000,2,Бензин,136,Автомат,Задний,7.8,10.8,975000
BMW X5 3.0 AT,2005,310000,3,Бензин,231,Автомат,Полный,12.9,8.8,979000
BMW 1 серия 1.6 AT,2010,175000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,980000
BMW X3 3.0 AT,2005,266900,3,Бензин,231,Автомат,Полный,12.1,8.1,980000
BMW 1 серия 2.0 MT,2008,97500,2,Дизель,143,Механика,Задний,4.7,9,980000
BMW X5 3.0 AT,2000,302000,3,Бензин,231,Автомат,Полный,12.9,8.8,990000
BMW 1 серия 1.6 AT,2013,230000,1.6,Бензин,136,Автомат,Задний,5.6,8.7,990000
BMW 3 серия 2.5 AT,2006,298000,2.5,Бензин,218,Автомат,Задний,7.1,7.2,990000
BMW X3 2.5 AT,2004,376500,2.5,Бензин,192,Автомат,Полный,11.9,9.8,990000
BMW 1 серия 1.6 AT,2013,101000,1.6,Бензин,136,Автомат,Задний,5.6,8.7,990000
BMW 1 серия 2.0 AT,2007,161013,2,Бензин,156,Автомат,Задний,7.6,9.1,997000
BMW 5 серия 3.0 AT,2002,337000,3,Бензин,231,Автомат,Задний,10.7,7.6,997000
BMW 5 серия 3.0 AT,2004,365000,3,Дизель,218,Автомат,Задний,7.8,7.1,999000
BMW 3 серия 2.0 AT,2011,230000,2,Бензин,156,Автомат,Задний,8,9.8,999000
BMW X1 2.0 AT,2013,119000,2,Бензин,150,Автомат,Задний,7.9,10.4,999000
BMW X5 3.0 AT,2004,442000,3,Дизель,218,Автомат,Полный,12.9,8.8,999000
BMW X3 3.0 AT,2008,442113,3,Бензин,272,Автомат,Полный,10.3,7.5,999000
BMW 1 серия 2.0 AT,2005,192000,2,Бензин,150,Автомат,Задний,6.5,9.2,999000
BMW X3 2.5 AT,2010,236581,2.5,Бензин,218,Автомат,Полный,10.1,8.9,999000
BMW 3 серия 2.0 AT,2011,24500,2,Бензин,143,Автомат,Задний,5.4,8.2,999999
BMW 3 серия 2.2 AT,2001,347000,2.2,Бензин,170,Автомат,Задний,9.4,9.3,999999
BMW 3 серия 1.8 MT,1994,100000,1.8,Бензин,115,Механика,Задний,8.1,11.3,999999
BMW X1 2.0 AT,2011,191729,2,Бензин,150,Автомат,Задний,8.2,9.7,999999
BMW X5 3.0 AT,2003,458000,3,Бензин,231,Автомат,Полный,12.9,8.8,1000000
BMW 5 серия 3.0 AT,2003,335000,3,Бензин,231,Автомат,Задний,9.9,7.1,1000000
BMW 3 серия 2.0 AT,2010,167400,2,Бензин,136,Автомат,Задний,7.8,10.8,1000000
BMW 1 серия 1.6 AT,2013,252000,1.6,Бензин,136,Автомат,Задний,5.6,8.7,1000000
BMW 7 серия 4.4 AT,2004,268000,4.4,Бензин,333,Автомат,Задний,11.2,6.3,1000000
BMW 5 серия 2.0 AT,2010,241500,2,Дизель,163,Автомат,Задний,6.1,8.6,1000000
BMW 3 серия 2.0 MT,1988,150000,2,Бензин,129,Механика,Задний,9.5,9.2,1000000
BMW 3 серия 2.5 AT,2004,345000,2.5,Бензин,192,Автомат,Полный,10.3,8.5,1000000
BMW 5 серия 2.5 AT,2006,231596,2.5,Бензин,218,Автомат,Задний,9.4,7.9,1000000
BMW 7 серия 4.4 AT,1999,403200,4.4,Бензин,286,Автомат,Задний,12.5,7.5,1000000
BMW 5 серия 2.0 AT,2008,368000,2,Дизель,177,Автомат,Задний,6.1,8.4,1010000
BMW X3 3.0 AT,2005,470000,3,Бензин,231,Автомат,Полный,12.1,8.1,1030000
BMW 3 серия 2.0 AT,2011,192500,2,Бензин,136,Автомат,Задний,7.8,10.8,1040000
BMW X3 3.0 AT,2007,340000,3,Бензин,272,Автомат,Полный,10.3,7.5,1050000
BMW 1 серия 1.6 AT,2008,260000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,1050000
BMW 5 серия 2.0 AT,2008,200800,2,Бензин,156,Автомат,Задний,8.2,10.6,1050000
BMW X1 2.0 AT,2013,170500,2,Бензин,150,Автомат,Задний,7.9,10.4,1050000
BMW 7 серия 3.0 AT,2006,251704,3,Бензин,258,Автомат,Задний,10.1,7.9,1050000
BMW X5 3.0 AT,2003,510000,3,Бензин,231,Автомат,Полный,12.9,8.8,1059000
BMW 5 серия 2.5 AT,2008,238000,2.5,Бензин,218,Автомат,Задний,9.4,7.9,1069000
BMW 5 серия 2.0 MT,2007,393292,2,Дизель,163,Механика,Задний,6.1,8.9,1079000
BMW 1 серия 1.6 AT,2013,182000,1.6,Бензин,136,Автомат,Задний,5.6,8.7,1080000
BMW 5 серия 2.5 AT,2009,204000,2.5,Бензин,218,Автомат,Задний,9.4,7.9,1088000
BMW 2 серия Active Tourer 1.5 AT,2015,70000,1.5,Бензин,136,Автомат,Передний,5.2,9.2,1090000
BMW X1 2.0 AT,2011,205000,2,Бензин,150,Автомат,Задний,8.2,9.7,1099000
BMW 3 серия 2.5 AT,2006,217000,2.5,Бензин,218,Автомат,Задний,7.1,7.2,1099999
BMW 5 серия 3.0 AT,2004,326000,3,Бензин,231,Автомат,Задний,9.9,7.1,1100000
BMW 7 серия 3.0 AT,2007,369000,3,Дизель,231,Автомат,Задний,8.2,7.8,1100000
BMW 3 серия 3.0 MT,2002,240000,3,Бензин,231,Механика,Задний,9.1,6.5,1100000
BMW 1 серия 1.6 AT,2012,265000,1.6,Бензин,136,Автомат,Задний,5.6,8.7,1100000
BMW X3 2.5 AT,2008,213000,2.5,Бензин,218,Автомат,Полный,10.1,8.9,1100000
BMW X5 3.0 AT,2002,362000,3,Бензин,231,Автомат,Полный,12.9,8.8,1100000
